formula,processing_method,heat_treatment_temp_c,yield_strength_mpa,tensile_strength_mpa,elongation_pct,hardness_hv,youngs_modulus_gpa,density_g_cm3
Fe-0.2C-1.5Mn,hot-rolled,900,350,500,25,160,210,7.85
Fe-0.4C-1.5Mn,hot-rolled,900,450,650,20,200,210,7.85
Fe-0.6C-1.5Mn,hot-rolled,900,550,800,15,240,210,7.85
Fe-0.8C-1.5Mn,hot-rolled,900,650,950,10,280,210,7.85
Fe-0.2C-1.5Mn,quenched,850,600,850,12,250,210,7.85
Fe-0.4C-1.5Mn,quenched,850,800,1100,8,320,210,7.85
Fe-0.6C-1.5Mn,quenched,850,950,1300,5,380,210,7.85
Fe-0.2C-1.5Mn,tempered,600,500,700,18,220,210,7.85
Fe-0.4C-1.5Mn,tempered,600,700,950,12,290,210,7.85
Fe-18Cr-8Ni,annealed,1050,250,600,50,180,193,8.0
Fe-18Cr-8Ni,cold-worked,25,600,850,25,280,193,8.0
Fe-18Cr-12Ni-2.5Mo,annealed,1050,270,620,55,190,193,8.0
Fe-25Cr-20Ni,annealed,1100,280,650,50,200,200,7.95
Fe-12Cr-1Mo-0.25V,tempered,650,550,750,18,240,215,7.85
Fe-12Cr-2W-0.25V,tempered,650,650,850,15,280,218,7.85
Fe-9Cr-1Mo,tempered,700,450,620,22,200,215,7.85
Fe-22Cr-5Ni-3Mo,annealed,1050,480,720,25,270,200,7.8
Fe-25Cr-7Ni-4Mo,annealed,1100,550,800,25,290,200,7.8
Ti-6Al-4V,annealed,750,880,950,14,350,114,4.43
Ti-6Al-4V,forged,950,950,1050,12,380,114,4.43
Ti-6Al-4V,STA,550,1100,1200,10,400,114,4.43
Ti-5Al-2.5Sn,annealed,750,800,900,15,330,110,4.48
Ti-6Al-6V-2Sn,STA,550,1200,1300,8,410,114,4.43
Ti-13V-11Cr-3Al,STA,480,1100,1250,8,400,110,4.85
Al-4.5Cu,T6,530,320,470,12,130,72,2.78
Al-4.5Cu,T4,530,200,350,22,90,72,2.78
Al-5.6Zn-2.5Mg-1.6Cu,T6,470,510,580,11,175,72,2.82
Al-5.6Zn-2.5Mg-1.6Cu,T73,470,460,525,13,155,72,2.82
Al-4.4Cu-1.5Mg-0.6Mn,T6,510,380,480,13,145,72,2.78
Al-2.5Mg-0.4Cr,H34,25,180,250,12,65,70,2.68
Al-10Si-0.4Mg,T6,530,250,320,5,100,75,2.67
Al-7Si-0.3Mg,T6,530,230,300,5,90,75,2.69
Mg-6Al-1Zn,as-cast,25,100,200,6,55,45,1.81
Mg-6Al-1Zn,T6,200,180,270,5,65,45,1.81
Mg-3Al-1Zn,extruded,25,180,250,12,55,45,1.78
Mg-6Zn-0.5Zr,T5,200,200,280,8,65,45,1.83
Mg-2Zn-1Mn,extruded,25,170,230,14,50,45,1.77
Ni-20Cr-2.5Ti-1.5Al,STA,760,800,1200,18,350,220,8.2
Ni-20Cr-2.5Ti-1.5Al,annealed,1080,350,850,45,200,220,8.2
Ni-19Cr-18Co-3Mo-5Al-3Ti,STA,760,1050,1350,15,400,220,8.25
Ni-19Cr-18Co-3Mo-5Al-3Ti,STA,850,1100,1400,12,420,220,8.25
Ni-15Cr-8Co-3Mo-5Al-3Ti,STA,760,1000,1300,16,380,220,8.2
Ni-22Cr-12.5Co-9Mo-2Nb,STA,720,950,1250,18,360,220,8.22
Cu-30Zn,annealed,600,110,380,50,70,110,8.53
Cu-30Zn,cold-worked,25,380,530,12,160,110,8.53
Cu-10Sn,annealed,600,180,420,50,80,110,8.78
Cu-2Be,STA,320,1100,1300,5,380,130,8.25
Cu-2Be,annealed,800,250,480,35,90,130,8.25
Fe-3Si,annealed,900,350,480,25,150,200,7.65
Fe-3Si-0.5Al,annealed,900,360,490,24,155,200,7.65
Fe-0.5Ni-0.5Cr-0.2Mo,tempered,600,580,720,22,220,210,7.85
Fe-1.0Ni-1.0Cr-0.4Mo,tempered,600,700,880,18,270,210,7.85
Fe-1.5Ni-1.5Cr-0.5Mo,tempered,600,850,1050,14,320,210,7.85
Fe-3Ni-1Cr-0.4Mo,tempered,600,950,1150,12,360,210,7.85
Fe-3Ni-1.5Cr-0.5Mo-0.1V,tempered,600,1100,1300,10,400,210,7.85
Co-20Cr-15W-10Ni,as-cast,25,550,950,8,320,230,9.13
Co-20Cr-15W-10Ni,STA,750,700,1100,6,380,230,9.13
