formula,storage_mechanism,particle_size_nm,storage_capacity_wt_pct,desorption_temp_c,enthalpy_kj_mol,entropy_j_mol_k,kinetics_min,cycle_stability
LaNi5,intermetallic,1000,1.4,25,30,100,5,500
LaNi4.7Al0.3,intermetallic,1000,1.3,50,35,110,7,400
LaNi4.5Mn0.5,intermetallic,1000,1.5,10,25,95,4,350
LaNi4.25Al0.75,intermetallic,1000,1.2,80,45,120,10,500
MmNi5,intermetallic,1000,1.4,30,25,95,5,400
MmNi4.5Al0.5,intermetallic,1000,1.3,60,35,105,8,450
TiFe,intermetallic,1000,1.8,25,28,105,5,500
TiFe0.9Mn0.1,intermetallic,1000,1.8,0,22,95,3,500
TiMn2,intermetallic,1000,1.8,-20,20,90,3,450
TiCr1.8,intermetallic,1000,2.1,-40,18,85,2,400
Ti0.8Zr0.2Mn1.2Cr1.0V0.4,intermetallic,1000,2.0,-10,22,95,3,450
Ti0.9Zr0.1Mn1.4V0.6Cr0.2,intermetallic,1000,2.1,0,20,90,3,500
ZrMn2,intermetallic,1000,1.7,100,40,110,10,300
ZrV2,intermetallic,1000,2.0,150,50,120,12,250
Mg2Ni,intermetallic,1000,3.6,250,64,122,30,200
Mg2Ni-nano,intermetallic,50,3.6,200,55,115,15,300
Mg2Cu,intermetallic,1000,2.6,280,70,130,40,150
Mg2Co,intermetallic,1000,2.7,300,75,135,45,100
Mg17Al12,intermetallic,1000,2.5,280,65,120,35,150
Mg,metal,1000,7.6,400,75,130,60,100
Mg-nano,metal,50,7.6,300,65,120,30,200
Mg-5Ni,composite,100,5.5,250,60,115,25,250
Mg-5Fe,composite,100,5.7,300,70,125,30,200
Mg-5Co,composite,100,5.6,280,65,120,28,220
Mg-5Cr,composite,100,5.8,320,72,128,35,180
Mg-5Ti,composite,100,5.9,300,70,125,30,200
Mg-5V,composite,100,5.7,290,68,122,28,220
Mg-10Ni-5Fe,composite,100,5.2,230,55,110,20,280
Mg-10Ni-5Co,composite,100,5.3,240,58,115,22,260
Mg-10Ni-5Cr,composite,100,5.4,250,60,118,25,240
MgH2-catalyzed,metal-hydride,50,7.0,250,60,115,15,300
MgH2-Nb2O5,metal-hydride,50,7.0,200,50,105,5,500
MgH2-TiC,metal-hydride,50,7.0,220,55,110,8,400
MgH2-V2O5,metal-hydride,50,7.0,230,58,112,10,350
MgH2-Cr2O3,metal-hydride,50,7.0,240,60,115,12,300
LiBH4,complex-hydride,1000,18.5,400,70,95,120,50
LiBH4-MgH2,complex-hydride,100,11.5,350,60,100,60,100
LiBH4-TiCl3,complex-hydride,50,18.0,300,55,95,30,100
NaBH4,complex-hydride,1000,10.8,500,100,110,180,30
NaBH4-catalyzed,complex-hydride,100,10.5,100,30,80,5,50
KBH4,complex-hydride,1000,7.7,400,80,100,100,50
Ca(BH4)2,complex-hydride,1000,11.6,400,75,100,120,50
Mg(BH4)2,complex-hydride,1000,14.9,350,65,95,80,80
Al(BH4)3,complex-hydride,1000,16.9,0,30,80,5,30
Zn(BH4)2,complex-hydride,1000,8.5,50,35,85,10,20
LiAlH4,complex-hydride,1000,10.5,175,25,80,10,100
LiAlH4-TiCl3,complex-hydride,50,10.5,100,15,70,5,200
NaAlH4,complex-hydride,1000,7.4,230,50,90,30,100
NaAlH4-TiCl3,complex-hydride,50,5.5,150,30,80,10,300
NaAlH4-Ti-catalyst,complex-hydride,50,5.6,100,25,75,5,500
Mg(AlH4)2,complex-hydride,1000,9.3,175,30,80,15,50
Li3AlH6,complex-hydride,1000,5.6,250,45,90,30,80
Na3AlH6,complex-hydride,1000,3.7,230,45,90,30,80
NH3BH3,chemical-hydride,100,19.6,100,25,80,5,50
NH3BH3-polymer,chemical-hydride,100,12.0,80,20,75,5,50
