formula,crystal_structure,doping_type,band_gap_ev,electron_mobility_cm2_vs,hole_mobility_cm2_vs,dielectric_constant,thermal_conductivity_w_mk,carrier_concentration_cm3
Si,diamond,n-type,1.12,1500,450,11.7,150,1000000000000000.0
Si,diamond,p-type,1.12,1500,450,11.7,150,1e+16
Si,diamond,intrinsic,1.12,1500,450,11.7,150,10000000000.0
Ge,diamond,n-type,0.66,3900,1900,16.0,60,1000000000000000.0
Ge,diamond,p-type,0.66,3900,1900,16.0,60,1e+16
Ge,diamond,intrinsic,0.66,3900,1900,16.0,60,10000000000000.0
GaAs,zincblende,n-type,1.42,8500,400,12.9,55,1e+16
GaAs,zincblende,p-type,1.42,8500,400,12.9,55,1e+17
GaAs,zincblende,intrinsic,1.42,8500,400,12.9,55,10000000.0
InP,zincblende,n-type,1.34,5400,200,12.5,68,1e+16
InP,zincblende,p-type,1.34,5400,200,12.5,68,1e+17
InP,zincblende,intrinsic,1.34,5400,200,12.5,68,100000000.0
GaP,zincblende,n-type,2.26,250,150,11.1,110,1e+16
GaP,zincblende,p-type,2.26,250,150,11.1,110,1e+17
GaP,zincblende,intrinsic,2.26,250,150,11.1,110,1000000.0
InAs,zincblende,n-type,0.36,40000,500,15.2,27,1e+16
InAs,zincblende,p-type,0.36,40000,500,15.2,27,1e+17
InAs,zincblende,intrinsic,0.36,40000,500,15.2,27,1000000000000.0
InSb,zincblende,n-type,0.17,80000,1250,16.8,17,1e+16
InSb,zincblende,p-type,0.17,80000,1250,16.8,17,1e+17
InSb,zincblende,intrinsic,0.17,80000,1250,16.8,17,10000000000000.0
AlN,wurtzite,intrinsic,6.2,300,14,9.1,285,10000000000.0
GaN,wurtzite,n-type,3.4,1000,200,9.0,130,1e+17
GaN,wurtzite,p-type,3.4,1000,200,9.0,130,1e+18
GaN,wurtzite,intrinsic,3.4,1000,200,9.0,130,10000000000.0
InN,wurtzite,n-type,0.7,4400,340,9.0,45,1e+17
InN,wurtzite,intrinsic,0.7,4400,340,9.0,45,1000000000000.0
AlGaAs,zincblende,n-type,1.8,1000,200,12.0,80,1e+16
AlGaAs,zincblende,intrinsic,1.8,1000,200,12.0,80,1000000.0
InGaAs,zincblende,n-type,0.75,12000,400,13.9,60,1e+16
InGaAs,zincblende,intrinsic,0.75,12000,400,13.9,60,100000000.0
InGaP,zincblende,n-type,1.9,500,100,11.6,90,1e+16
AlInGaP,zincblende,intrinsic,2.0,200,100,11.5,80,1000000.0
SiC-3C,zincblende,n-type,2.36,1000,100,9.7,490,1e+16
SiC-4H,wurtzite,n-type,3.26,900,120,9.7,490,1e+16
SiC-6H,wurtzite,n-type,3.03,400,100,9.7,490,1e+16
SiC-4H,wurtzite,p-type,3.26,900,120,9.7,490,1e+18
SiC-4H,wurtzite,intrinsic,3.26,900,120,9.7,490,100000000.0
ZnSe,zincblende,n-type,2.7,600,100,9.2,19,1e+16
ZnSe,zincblende,intrinsic,2.7,600,100,9.2,19,10000000000.0
ZnTe,zincblende,p-type,2.25,300,100,9.7,18,1e+17
ZnTe,zincblende,intrinsic,2.25,300,100,9.7,18,100000000000.0
CdS,wurtzite,n-type,2.42,350,50,9.0,20,1e+16
