formula,cell_type,deposition_method,efficiency_pct,band_gap_ev,voc_v,jsc_ma_cm2,fill_factor,stability_hours
Si-mono,mono-Si,Czochralski,26.1,1.12,0.74,42.0,0.84,100000
Si-mono-PERC,mono-Si,Czochralski,24.5,1.12,0.72,41.5,0.82,100000
Si-mono-HJT,mono-Si,Czochralski,26.8,1.12,0.75,42.5,0.84,100000
Si-mono-IBC,mono-Si,Czochralski,27.3,1.12,0.76,43.0,0.83,100000
Si-mono-TOPCon,mono-Si,Czochralski,26.1,1.12,0.74,42.0,0.84,100000
Si-poly,poly-Si,directional,22.3,1.12,0.69,40.0,0.81,100000
Si-poly-PERC,poly-Si,directional,23.5,1.12,0.71,40.5,0.82,100000
Si-amorphous,a-Si,PECVD,10.1,1.7,0.89,16.5,0.69,5000
Si-amorphous-micro,a-Si/μc-Si,PECVD,14.0,1.5,1.1,14.0,0.74,10000
GaAs-single,III-V,MOCVD,29.1,1.42,1.13,29.8,0.87,100000
GaAs-thin,III-V,MOCVD,29.1,1.42,1.13,29.8,0.87,100000
GaInP/GaAs,III-V-tandem,MOCVD,32.0,1.85,1.45,14.0,0.79,100000
GaInP/GaAs/Ge,III-V-triple,MOCVD,37.9,1.85,3.0,14.0,0.85,100000
GaInP/GaInAs/Ge,III-V-triple,MOCVD,39.2,1.85,3.0,14.5,0.86,100000
InGaP/GaAs/InGaAs,III-V-triple,MOCVD,40.7,1.85,3.2,14.0,0.87,100000
CdTe,thin-film,CSS,22.1,1.5,0.89,31.0,0.8,50000
CdTe-advanced,thin-film,CSS,22.4,1.5,0.89,31.5,0.8,50000
CIGS,thin-film,co-evaporation,23.4,1.15,0.74,39.0,0.81,50000
CIGS-Cd-free,thin-film,co-evaporation,22.9,1.15,0.73,38.5,0.81,50000
CIGS-flexible,thin-film,co-evaporation,21.5,1.15,0.72,37.0,0.81,30000
CZTS,thin-film,solution,12.6,1.5,0.66,26.0,0.66,10000
CZTSe,thin-film,solution,11.6,1.0,0.42,38.0,0.64,10000
CZTSSe,thin-film,solution,13.0,1.2,0.5,33.0,0.66,10000
Sb2Se3,thin-film,CSS,9.2,1.2,0.4,30.0,0.6,5000
Sb2S3,thin-film,CSS,7.5,1.7,0.55,18.0,0.6,5000
MAPbI3,perovskite,spin-coating,21.6,1.55,1.12,24.0,0.81,1000
MAPbI3-improved,perovskite,spin-coating,22.7,1.55,1.13,25.0,0.8,1500
FAPbI3,perovskite,spin-coating,23.8,1.48,1.1,26.0,0.82,2000
FAPbI3-stabilized,perovskite,spin-coating,24.2,1.48,1.12,26.5,0.81,3000
MAxFA1-xPbI3,perovskite,spin-coating,24.8,1.5,1.12,26.5,0.83,3000
Cs0.05FA0.85MA0.10PbI3,perovskite,spin-coating,25.2,1.52,1.13,27.0,0.83,4000
Cs0.10FA0.90PbI3,perovskite,spin-coating,25.5,1.5,1.14,27.5,0.83,5000
CsPbI3,perovskite-inorganic,spin-coating,19.0,1.73,1.23,19.5,0.79,2000
CsPbI2Br,perovskite-inorganic,spin-coating,16.0,1.92,1.28,14.5,0.78,1500
CsPbBr3,perovskite-inorganic,spin-coating,10.0,2.3,1.5,7.5,0.7,1000
MAPbBr3,perovskite,spin-coating,8.5,2.3,1.5,6.5,0.7,1000
FAPbBr3,perovskite,spin-coating,9.5,2.3,1.55,7.0,0.72,1500
Perovskite-Si-tandem,tandem,spin-coating+MOCVD,33.9,1.68,1.97,20.4,0.84,5000
Perovskite-Perovskite,tandem,spin-coating,29.3,1.85,2.1,16.0,0.82,3000
Perovskite-CIGS,tandem,spin-coating+co-evap,28.0,1.65,1.85,18.0,0.8,3000
P3HT:PCBM,organic,spin-coating,5.0,1.9,0.65,10.0,0.65,2000
PTB7:PC71BM,organic,spin-coating,9.2,1.8,0.8,16.0,0.7,2000
PBDB-T:ITIC,organic,spin-coating,11.2,1.6,0.9,16.5,0.74,2000
PM6:Y6,organic,spin-coating,15.7,1.4,0.84,25.0,0.75,3000
